Algorithm,Map,Starting Pose,local_int,time,total_dist,to_20,to_30,to_40,to_50,to_60,to_70,to_80,to_90,to_100
utility,1,top_left,14.0,1.6319689750671387,224.53405460951745,6.0,8.0,12.0,13.0,15.0,19.0,23.0,27.0,60.0
utility,1,top_right,20.0,1.9299440383911133,269.9604614807102,5.0,7.0,10.0,13.0,16.0,27.0,33.0,40.0,72.0
utility,1,bottom_left,24.0,2.549315929412842,367.11479041326083,6.0,11.0,15.0,17.0,19.0,24.0,28.0,35.0,98.0
utility,1,bottom_right,37.0,1.7656190395355225,193.32085117392103,6.0,8.0,10.0,15.0,18.0,22.0,24.0,31.0,50.0
utility,2,top_left,33.0,1.9007999897003174,216.73506473629413,7.0,12.0,16.0,18.0,23.0,28.0,33.0,49.0,62.0
utility,2,top_right,48.0,2.8251559734344482,236.50461735799453,8.0,13.0,18.0,23.0,28.0,31.0,35.0,38.0,64.0
utility,2,bottom_left,44.0,1.703341007232666,232.77669529663672,6.0,8.0,12.0,14.0,16.0,20.0,24.0,29.0,61.0
utility,2,bottom_right,27.0,2.349973201751709,268.57568516986,8.0,11.0,14.0,15.0,18.0,20.0,25.0,32.0,74.0
utility,3,top_left,15.0,3.036344051361084,401.8132752230959,8.0,14.0,18.0,24.0,29.0,33.0,38.0,48.0,108.0
utility,3,top_right,16.0,1.442451000213623,172.93607486307081,8.0,11.0,14.0,19.0,23.0,26.0,29.0,35.0,47.0
utility,3,bottom_left,31.0,2.1786108016967773,257.71782079359093,6.0,10.0,14.0,16.0,20.0,24.0,29.0,39.0,69.0
utility,3,bottom_right,24.0,1.842378854751587,194.14927829866724,8.0,11.0,13.0,16.0,19.0,28.0,31.0,34.0,52.0
utility,4,top_left,35.0,2.1920979022979736,423.1980515339462,6.0,13.0,18.0,22.0,24.0,41.0,66.0,84.0,113.0
utility,4,top_right,31.0,1.3641400337219238,197.32085117392106,8.0,11.0,17.0,20.0,23.0,26.0,29.0,32.0,53.0
utility,4,bottom_left,24.0,2.444427013397217,406.32799384885743,6.0,12.0,14.0,20.0,23.0,28.0,34.0,42.0,111.0
utility,4,bottom_right,51.0,3.1259260177612305,484.1391770309008,8.0,17.0,22.0,24.0,30.0,33.0,39.0,44.0,132.0
utility,5,top_left,24.0,1.491034984588623,304.7888886054564,7.0,10.0,15.0,21.0,25.0,30.0,35.0,55.0,86.0
utility,5,top_right,15.0,2.037257194519043,327.54624791833703,8.0,12.0,16.0,25.0,28.0,35.0,46.0,52.0,94.0
utility,5,bottom_left,12.0,1.2741150856018066,219.9777054234134,8.0,11.0,13.0,18.0,25.0,28.0,32.0,45.0,61.0
utility,5,bottom_right,16.0,1.804004192352295,386.6000717874994,5.0,10.0,20.0,23.0,26.0,32.0,38.0,62.0,108.0
utility,6,top_left,58.0,2.031783103942871,342.11479041326083,11.0,13.0,17.0,20.0,23.0,36.0,44.0,65.0,93.0
utility,6,top_right,43.0,2.083324909210205,337.1736649163066,9.0,13.0,17.0,22.0,24.0,30.0,40.0,82.0,94.0
utility,6,bottom_left,30.0,1.583324909210205,276.4751801064716,7.0,12.0,16.0,19.0,23.0,29.0,36.0,63.0,76.0
utility,6,bottom_right,9.0,1.8824560642242432,362.8721497261415,9.0,13.0,14.0,19.0,23.0,25.0,35.0,42.0,101.0
utility,7,top_left,28.0,2.2248361110687256,444.47012947258855,8.0,12.0,16.0,22.0,24.0,30.0,50.0,60.0,127.0
utility,7,top_right,21.0,1.829944133758545,326.9310242291873,8.0,11.0,19.0,26.0,30.0,38.0,49.0,54.0,91.0
utility,7,bottom_left,20.0,1.5334107875823975,310.27416997969493,7.0,13.0,18.0,21.0,26.0,34.0,45.0,53.0,86.0
utility,7,bottom_right,27.0,1.886125087738037,366.9726547895299,9.0,16.0,21.0,26.0,33.0,36.0,59.0,62.0,103.0
utility,8,top_left,31.0,2.305696964263916,399.2985565973344,8.0,14.0,23.0,29.0,36.0,55.0,61.0,63.0,109.0
