Algorithm,Map,Starting Pose,local_int,time,total_dist,to_20,to_30,to_40,to_50,to_60,to_70,to_80,to_90,to_100
greedy,1,top_left,56.0,1.107666015625,317.78888860545635,8.0,16.0,22.0,30.0,34.0,40.0,45.0,69.0,86.0
greedy,1,top_right,63.0,1.0162880420684814,282.84776310850214,7.0,19.0,28.0,35.0,41.0,44.0,53.0,63.0,79.0
greedy,1,bottom_left,101.0,0.9677770137786865,279.1614716074869,7.0,14.0,24.0,30.0,38.0,45.0,49.0,60.0,75.0
greedy,1,bottom_right,51.0,0.9125769138336182,285.64675298172546,6.0,8.0,11.0,13.0,16.0,20.0,39.0,52.0,77.0
greedy,2,top_left,56.0,1.1609010696411133,361.14422766478367,6.0,14.0,18.0,29.0,40.0,43.0,46.0,64.0,97.0
greedy,2,top_right,64.0,1.0916268825531006,368.4873734152913,10.0,13.0,16.0,21.0,36.0,42.0,46.0,50.0,100.0
greedy,2,bottom_left,83.0,1.0904278755187988,277.8477631085021,8.0,14.0,25.0,32.0,39.0,50.0,55.0,61.0,76.0
greedy,2,bottom_right,42.0,1.0022618770599365,227.9777054234134,8.0,12.0,14.0,17.0,19.0,21.0,39.0,47.0,63.0
greedy,3,top_left,40.0,1.1956779956817627,355.73001410241056,10.0,13.0,25.0,31.0,34.0,36.0,50.0,57.0,96.0
greedy,3,top_right,61.0,1.1176960468292236,312.4751801064716,10.0,14.0,19.0,34.0,39.0,43.0,50.0,76.0,86.0
greedy,3,bottom_left,69.0,1.2944080829620361,317.78888860545635,10.0,13.0,16.0,18.0,21.0,25.0,43.0,75.0,86.0
greedy,3,bottom_right,39.0,0.743476152420044,217.93607486307081,7.0,9.0,12.0,15.0,18.0,20.0,27.0,42.0,61.0
greedy,4,top_left,60.0,1.1448988914489746,313.26197667087524,7.0,12.0,16.0,22.0,24.0,43.0,69.0,77.0,89.0
greedy,4,top_right,55.0,1.3181238174438477,352.0315292925756,10.0,15.0,24.0,44.0,47.0,56.0,67.0,84.0,98.0
greedy,4,bottom_left,33.0,0.9095480442047119,282.8893936688447,7.0,14.0,17.0,21.0,25.0,30.0,35.0,38.0,75.0
greedy,4,bottom_right,107.0,1.060312032699585,284.9898987322331,13.0,15.0,18.0,28.0,40.0,48.0,56.0,68.0,79.0
greedy,5,top_left,73.0,1.5219321250915527,494.7422074112309,15.0,20.0,32.0,35.0,43.0,48.0,55.0,64.0,144.0
greedy,5,top_right,44.0,1.5223701000213623,481.38686835190333,10.0,16.0,20.0,30.0,38.0,47.0,59.0,66.0,145.0
greedy,5,bottom_left,60.0,1.4108319282531738,373.54624791833703,10.0,17.0,33.0,40.0,51.0,60.0,66.0,79.0,113.0
greedy,5,bottom_right,85.0,1.5049419403076172,433.9726547895301,7.0,11.0,15.0,17.0,24.0,33.0,77.0,112.0,127.0
greedy,6,top_left,45.0,1.1606941223144531,375.386868351903,14.0,18.0,22.0,28.0,30.0,38.0,49.0,51.0,102.0
greedy,6,top_right,71.0,1.251417875289917,437.4995667241113,8.0,16.0,25.0,27.0,29.0,37.0,48.0,67.0,120.0
greedy,6,bottom_left,65.0,1.1301708221435547,304.4751801064716,13.0,17.0,22.0,28.0,37.0,43.0,60.0,68.0,85.0
greedy,6,bottom_right,40.0,1.1745212078094482,425.9432175380073,10.0,13.0,15.0,17.0,18.0,22.0,24.0,33.0,118.0
greedy,7,top_left,45.0,1.253303050994873,422.7005768508879,7.0,19.0,24.0,28.0,35.0,38.0,41.0,92.0,116.0
greedy,7,top_right,68.0,1.442518949508667,483.29855659733494,11.0,21.0,33.0,40.0,45.0,52.0,56.0,72.0,137.0
greedy,7,bottom_left,85.0,1.4920358657836914,441.70057685088807,8.0,14.0,31.0,40.0,47.0,66.0,74.0,82.0,125.0
greedy,7,bottom_right,54.0,1.3972010612487793,435.67113959936523,9.0,14.0,18.0,25.0,40.0,60.0,67.0,80.0,119.0
greedy,8,top_left,35.0,1.4062130451202393,441.26911934581176,10.0,15.0,18.0,21.0,27.0,36.0,90.0,99.0,119.0
greedy,8,top_right,60.0,1.485496997833252,467.0681092190353,17.0,19.0,22.0,37.0,46.0,53.0,59.0,71.0,126.0
greedy,8,bottom_left,68.0,1.2373020648956299,384.11479041326083,10.0,21.0,34.0,36.0,40.0,46.0,85.0,91.0,105.0
greedy,8,bottom_right,55.0,1.1255590915679932,397.98484809834963,8.0,11.0,14.0,22.0,26.0,32.0,38.0,66.0,106.0
greedy,9,top_left,37.0,1.2545030117034912,350.24473272817204,11.0,18.0,29.0,36.0,48.0,56.0,77.0,88.0,101.0
greedy,9,top_right,58.0,1.3434009552001953,432.52900397563417,11.0,14.0,30.0,42.0,46.0,50.0,57.0,62.0,122.0
greedy,9,bottom_left,48.0,1.7512180805206299,564.3523804664978,13.0,18.0,23.0,29.0,49.0,58.0,61.0,72.0,158.0
greedy,9,bottom_right,88.0,1.7143399715423584,520.1391770309012,14.0,18.0,25.0,48.0,71.0,74.0,80.0,104.0,152.0
greedy,10,top_left,66.0,1.5346450805664062,473.61226509631956,18.0,24.0,27.0,29.0,32.0,51.0,57.0,68.0,134.0
greedy,10,top_right,43.0,1.607867956161499,508.9970414071701,10.0,16.0,20.0,24.0,27.0,45.0,54.0,63.0,139.0
greedy,10,bottom_left,42.0,1.292829990386963,393.90158697766446,7.0,11.0,14.0,18.0,25.0,30.0,56.0,66.0,110.0
greedy,10,bottom_right,29.0,1.38887619972229,418.87214972614174,9.0,15.0,18.0,21.0,29.0,36.0,57.0,90.0,119.0
utility,1,top_left,31.0,2.4439189434051514,373.57063453597647,6.0,10.0,12.0,18.0,20.0,23.0,27.0,32.0,101.0
utility,1,top_right,36.0,2.006970167160034,352.11479041326083,7.0,13.0,15.0,18.0,24.0,35.0,40.0,45.0,96.0
utility,1,bottom_left,18.0,1.973294973373413,353.18585822512625,5.0,10.0,12.0,15.0,23.0,32.0,36.0,42.0,94.0
utility,1,bottom_right,35.0,2.683310031890869,428.2396820942889,6.0,8.0,10.0,13.0,16.0,18.0,25.0,34.0,114.0
utility,2,top_left,31.0,2.440431833267212,382.98484809834963,10.0,18.0,24.0,32.0,37.0,43.0,57.0,60.0,104.0
utility,2,top_right,38.0,2.4473021030426025,381.4701294725881,7.0,12.0,16.0,19.0,23.0,27.0,32.0,38.0,101.0
utility,2,bottom_left,39.0,2.76259708404541,431.5117600329311,5.0,8.0,12.0,15.0,17.0,22.0,27.0,36.0,115.0
utility,2,bottom_right,44.0,1.9794859886169434,297.4457428549488,8.0,12.0,14.0,16.0,18.0,20.0,23.0,28.0,79.0
utility,3,top_left,24.0,2.308779001235962,374.52900397563394,7.0,10.0,13.0,20.0,21.0,24.0,31.0,43.0,101.0
utility,3,top_right,19.0,1.5560619831085205,250.3624817342636,8.0,11.0,13.0,18.0,22.0,25.0,28.0,32.0,70.0
utility,3,bottom_left,30.0,1.704690933227539,274.96046148071025,6.0,9.0,14.0,17.0,26.0,31.0,37.0,61.0,75.0
utility,3,bottom_right,50.0,1.8073220252990723,271.06096654409856,8.0,11.0,13.0,16.0,19.0,24.0,26.0,40.0,74.0
utility,4,top_left,35.0,2.707089900970459,452.61226509631945,7.0,11.0,15.0,18.0,23.0,40.0,45.0,52.0,126.0
utility,4,top_right,19.0,2.345876932144165,404.1858582251264,7.0,14.0,20.0,23.0,28.0,36.0,42.0,46.0,112.0
utility,4,bottom_left,42.0,1.503911018371582,234.67619023324835,7.0,12.0,14.0,18.0,22.0,25.0,35.0,43.0,63.0
utility,4,bottom_right,37.0,2.78019118309021,472.411254969543,9.0,13.0,19.0,22.0,26.0,32.0,59.0,67.0,129.0
utility,5,top_left,18.0,3.0517728328704834,534.6660889654823,7.0,10.0,16.0,20.0,25.0,30.0,43.0,62.0,150.0
utility,5,top_right,32.0,3.1036078929901123,538.1808075912438,10.0,14.0,15.0,18.0,23.0,29.0,46.0,67.0,147.0
utility,5,bottom_left,32.0,2.696887969970703,442.8132752230962,7.0,13.0,19.0,23.0,30.0,32.0,42.0,64.0,128.0
utility,5,bottom_right,31.0,3.300201892852783,532.310749906155,5.0,10.0,14.0,16.0,19.0,28.0,34.0,60.0,153.0
utility,6,top_left,34.0,2.072813034057617,359.8305191657989,10.0,13.0,20.0,33.0,44.0,56.0,63.0,67.0,101.0
utility,6,top_right,40.0,3.278273105621338,581.9503602129446,9.0,14.0,18.0,22.0,33.0,38.0,45.0,87.0,159.0
utility,6,bottom_left,20.0,3.186919927597046,544.6955262170052,9.0,12.0,16.0,19.0,25.0,45.0,53.0,66.0,151.0
utility,6,bottom_right,29.0,3.543210029602051,611.607214462437,8.0,13.0,14.0,19.0,22.0,30.0,39.0,68.0,172.0
utility,7,top_left,16.0,3.2721920013427734,560.6366517139597,8.0,13.0,18.0,23.0,29.0,34.0,39.0,48.0,157.0
utility,7,top_right,33.0,3.1510629653930664,539.5239533417515,7.0,13.0,20.0,28.0,33.0,36.0,43.0,62.0,151.0
utility,7,bottom_left,30.0,3.2389159202575684,560.5950211536172,7.0,10.0,19.0,23.0,26.0,35.0,41.0,75.0,157.0
utility,7,bottom_right,41.0,4.902971982955933,700.9453095790618,11.0,14.0,17.0,25.0,28.0,32.0,39.0,59.0,193.0
utility,8,top_left,28.0,2.4394710063934326,344.65894629054515,8.0,11.0,16.0,23.0,27.0,30.0,32.0,76.0,94.0
utility,8,top_right,29.0,2.1563799381256104,384.49956672411105,9.0,13.0,17.0,20.0,27.0,45.0,62.0,70.0,105.0
utility,8,bottom_left,28.0,1.7479190826416016,307.5168106668142,12.0,16.0,20.0,30.0,35.0,41.0,47.0,51.0,87.0
utility,8,bottom_right,30.0,2.177013874053955,287.61731573020256,8.0,14.0,23.0,29.0,35.0,50.0,59.0,72.0,80.0
utility,9,top_left,28.0,3.343878984451294,571.3645737753175,13.0,20.0,25.0,29.0,31.0,36.0,49.0,85.0,161.0
utility,9,top_right,18.0,1.9969689846038818,328.0020920410528,9.0,12.0,18.0,31.0,36.0,41.0,56.0,65.0,93.0
utility,9,bottom_left,43.0,3.834923028945923,631.3473298326148,8.0,12.0,21.0,29.0,31.0,43.0,49.0,64.0,175.0
utility,9,bottom_right,40.0,3.027656078338623,462.9970414071698,17.0,21.0,27.0,45.0,47.0,58.0,64.0,69.0,132.0
utility,10,top_left,45.0,4.114237070083618,647.0041840821075,14.0,21.0,25.0,28.0,33.0,40.0,43.0,53.0,182.0
utility,10,top_right,23.0,3.6235411167144775,638.6194077712569,10.0,15.0,20.0,26.0,32.0,38.0,60.0,81.0,180.0
utility,10,bottom_left,35.0,3.4938838481903076,621.4478348960031,6.0,10.0,14.0,21.0,27.0,32.0,49.0,67.0,175.0
utility,10,bottom_right,34.0,3.8371028900146484,555.2224381515866,8.0,21.0,26.0,40.0,46.0,54.0,62.0,70.0,157.0
mdp,1,top_left,29.0,46.28826904296875,249.29141392239814,7.0,8.0,11.0,13.0,14.0,17.0,19.0,23.0,67.0
mdp,1,top_right,36.0,59.8576819896698,298.6467529817255,6.0,8.0,11.0,13.0,17.0,20.0,24.0,29.0,81.0
