Algorithm,Map,Starting Pose,local_int,time,total_dist,to_20,to_30,to_40,to_50,to_60,to_70,to_80,to_90,to_100
mdp,1,bottom_left,25.0,62.895533084869385,351.7594513539335,5.0,9.0,13.0,15.0,17.0,22.0,25.0,29.0,97.0
mdp,1,bottom_right,15.0,25.63266396522522,119.02438661763952,6.0,8.0,10.0,12.0,15.0,17.0,20.0,24.0,33.0
mdp,2,top_left,19.0,37.5310800075531,209.66399692442866,5.0,8.0,11.0,12.0,14.0,16.0,18.0,23.0,57.0
mdp,2,top_right,24.0,45.599645137786865,245.63455967290577,6.0,9.0,13.0,16.0,20.0,22.0,25.0,28.0,67.0
mdp,2,bottom_left,22.0,38.96418309211731,190.00714267493632,5.0,8.0,11.0,13.0,16.0,18.0,23.0,29.0,51.0
mdp,2,bottom_right,52.0,64.64727687835693,284.06096654409856,9.0,13.0,15.0,17.0,20.0,22.0,26.0,29.0,77.0
mdp,3,top_left,17.0,54.53272581100464,328.03152929257567,8.0,11.0,14.0,16.0,19.0,22.0,29.0,35.0,91.0
mdp,3,top_right,22.0,56.70066213607788,316.30360723121777,9.0,11.0,15.0,20.0,23.0,26.0,30.0,55.0,85.0
mdp,3,bottom_left,28.0,72.57513308525085,375.17366491630656,6.0,9.0,11.0,13.0,17.0,23.0,34.0,39.0,103.0
mdp,3,bottom_right,22.0,48.70474600791931,280.50461735799456,6.0,9.0,12.0,16.0,18.0,22.0,27.0,49.0,78.0
mdp,4,top_left,26.0,57.24697303771973,352.2741699796949,6.0,11.0,13.0,15.0,17.0,18.0,21.0,27.0,98.0
mdp,4,top_right,19.0,55.983782052993774,367.57568516986,6.0,8.0,11.0,14.0,17.0,20.0,28.0,52.0,106.0
mdp,4,bottom_left,20.0,34.20383596420288,194.10764773832463,6.0,10.0,13.0,21.0,23.0,25.0,27.0,38.0,53.0
mdp,4,bottom_right,21.0,59.345487117767334,374.21529547664915,7.0,11.0,15.0,17.0,18.0,20.0,28.0,40.0,101.0
mdp,5,top_left,35.0,82.72496294975281,489.64170234784245,8.0,13.0,20.0,21.0,25.0,29.0,33.0,61.0,138.0
mdp,5,top_right,17.0,65.76717710494995,441.47518010647195,12.0,15.0,17.0,20.0,22.0,29.0,41.0,47.0,132.0
mdp,5,bottom_left,24.0,71.20704197883606,451.399061660723,8.0,12.0,16.0,19.0,28.0,33.0,41.0,65.0,125.0
mdp,5,bottom_right,24.0,64.91213178634644,414.4284989122457,7.0,9.0,14.0,21.0,23.0,26.0,30.0,58.0,114.0
mdp,6,top_left,24.0,59.41947603225708,383.47518010647167,10.0,15.0,25.0,42.0,49.0,56.0,60.0,65.0,110.0
mdp,6,top_right,21.0,38.7569420337677,246.73506473629408,8.0,11.0,16.0,19.0,24.0,32.0,47.0,52.0,68.0
mdp,6,bottom_left,21.0,58.830633878707886,373.5878784786796,8.0,13.0,18.0,22.0,25.0,30.0,34.0,88.0,103.0
mdp,6,bottom_right,16.0,61.63230895996094,441.7716446627536,9.0,14.0,18.0,21.0,25.0,28.0,40.0,52.0,123.0
mdp,7,top_left,21.0,62.502050161361694,449.84271247461896,7.0,12.0,14.0,19.0,22.0,29.0,40.0,52.0,127.0
mdp,7,top_right,22.0,74.84791898727417,576.6244584051398,8.0,12.0,15.0,19.0,21.0,25.0,29.0,33.0,160.0
mdp,7,bottom_left,15.0,48.190650939941406,342.27416997969493,7.0,11.0,16.0,19.0,20.0,23.0,29.0,33.0,95.0
mdp,7,bottom_right,28.0,63.79929184913635,437.08535316173834,11.0,14.0,18.0,19.0,22.0,25.0,28.0,33.0,121.0
mdp,8,top_left,12.0,48.91076898574829,336.0020920410528,9.0,12.0,15.0,19.0,24.0,47.0,54.0,66.0,91.0
mdp,8,top_right,10.0,28.86198115348816,179.208152801713,7.0,12.0,15.0,17.0,20.0,24.0,27.0,31.0,49.0
mdp,8,bottom_left,30.0,58.071797132492065,327.20310216782946,13.0,22.0,25.0,28.0,36.0,39.0,52.0,62.0,89.0
mdp,8,bottom_right,21.0,35.67146396636963,204.10764773832463,7.0,9.0,15.0,21.0,28.0,32.0,35.0,38.0,56.0
mdp,9,top_left,9.0,48.589476108551025,388.8010819142761,9.0,13.0,17.0,23.0,28.0,34.0,40.0,75.0,109.0
mdp,9,top_right,28.0,58.362565994262695,418.42849891224574,7.0,10.0,15.0,22.0,24.0,28.0,36.0,56.0,118.0
mdp,9,bottom_left,13.0,70.36035394668579,568.5655839020941,8.0,12.0,16.0,35.0,42.0,47.0,52.0,69.0,156.0
mdp,9,bottom_right,17.0,70.9918839931488,505.90158697766503,13.0,16.0,22.0,25.0,27.0,31.0,37.0,43.0,149.0
mdp,10,top_left,12.0,73.34582304954529,577.6782822743024,13.0,22.0,28.0,33.0,37.0,42.0,48.0,53.0,155.0
mdp,10,top_right,20.0,56.904447078704834,390.11479041326083,10.0,16.0,19.0,23.0,27.0,30.0,33.0,39.0,107.0
mdp,10,bottom_left,17.0,54.966596841812134,397.7005768508877,7.0,9.0,13.0,18.0,24.0,31.0,51.0,59.0,110.0
mdp,10,bottom_right,11.0,75.6089940071106,499.51681066681476,8.0,16.0,20.0,38.0,44.0,48.0,62.0,98.0,150.0
