Algorithm,Map,Starting Pose,local_int,time,total_dist,to_20,to_30,to_40,to_50,to_60,to_70,to_80,to_90,to_100
greedy,1,top_left,57.0,0.9748439788818359,224.46298679765198,8.0,15.0,19.0,22.0,25.0,28.0,31.0,34.0,59.0
greedy,1,top_right,96.0,1.3813951015472412,245.3919189857865,8.0,17.0,25.0,33.0,40.0,44.0,47.0,50.0,67.0
greedy,1,bottom_left,57.0,0.932833194732666,203.59292911256318,7.0,11.0,13.0,16.0,21.0,26.0,38.0,46.0,55.0
greedy,1,bottom_right,48.0,0.913992166519165,217.1198410471444,6.0,8.0,12.0,14.0,16.0,19.0,23.0,28.0,56.0
greedy,2,top_left,52.0,1.1092309951782227,212.32085117392103,6.0,15.0,20.0,25.0,32.0,35.0,39.0,41.0,58.0
greedy,2,top_right,65.0,1.1216731071472168,256.67619023324835,8.0,11.0,15.0,21.0,25.0,37.0,47.0,57.0,69.0
greedy,2,bottom_left,72.0,1.2602341175079346,212.00714267493626,8.0,14.0,22.0,32.0,34.0,39.0,46.0,52.0,59.0
greedy,2,bottom_right,91.0,1.1441950798034668,219.90663761154798,8.0,12.0,14.0,15.0,17.0,19.0,28.0,46.0,60.0
greedy,3,top_left,31.0,0.8858139514923096,201.07821048680177,7.0,12.0,16.0,18.0,22.0,33.0,41.0,43.0,54.0
greedy,3,top_right,75.0,1.1947638988494873,223.1492782986672,8.0,12.0,16.0,18.0,23.0,35.0,42.0,53.0,62.0
greedy,3,bottom_left,45.0,1.185901165008545,245.04877323527887,7.0,12.0,14.0,19.0,36.0,43.0,46.0,55.0,67.0
greedy,3,bottom_right,34.0,0.9347190856933594,188.9655121145937,6.0,9.0,10.0,14.0,17.0,19.0,23.0,30.0,53.0
greedy,4,top_left,27.0,1.0214121341705322,227.00714267493626,8.0,13.0,15.0,18.0,26.0,35.0,39.0,42.0,63.0
greedy,4,top_right,35.0,1.2520489692687988,273.9188309203676,8.0,11.0,16.0,26.0,36.0,44.0,47.0,63.0,75.0
greedy,4,bottom_left,40.0,1.351330041885376,314.61731573020256,8.0,12.0,16.0,20.0,26.0,34.0,37.0,54.0,86.0
greedy,4,bottom_right,49.0,1.0567550659179688,243.87720036002503,9.0,12.0,14.0,17.0,19.0,21.0,26.0,41.0,66.0
greedy,5,top_left,44.0,1.7222659587860107,442.4873734152917,10.0,15.0,17.0,23.0,32.0,44.0,70.0,78.0,134.0
greedy,5,top_right,15.0,1.4690649509429932,388.5168106668142,8.0,15.0,16.0,18.0,20.0,40.0,53.0,77.0,111.0
greedy,5,bottom_left,57.0,1.1800739765167236,311.47518010647167,8.0,14.0,18.0,22.0,30.0,37.0,39.0,52.0,89.0
greedy,5,bottom_right,77.0,1.0280911922454834,282.67619023324835,5.0,9.0,13.0,16.0,18.0,21.0,25.0,52.0,78.0
greedy,6,top_left,30.0,1.0053369998931885,245.5340546095174,10.0,16.0,18.0,21.0,24.0,30.0,36.0,51.0,68.0
greedy,6,top_right,62.0,1.1738080978393555,277.0904037956214,8.0,15.0,20.0,22.0,25.0,33.0,48.0,63.0,76.0
greedy,6,bottom_left,34.0,1.105032205581665,236.9777054234134,10.0,12.0,15.0,17.0,22.0,35.0,44.0,57.0,66.0
