Algorithm,Map,Starting Pose,local_int,time,total_dist,to_20,to_30,to_40,to_50,to_60,to_70,to_80,to_90,to_100
greedy,1,top_left,29.0,1.0439479351043701,270.3330444827407,7.0,10.0,13.0,16.0,20.0,22.0,27.0,38.0,73.0
greedy,1,top_right,91.0,1.7794389724731445,286.1614716074869,6.0,13.0,18.0,19.0,22.0,31.0,39.0,54.0,78.0
greedy,1,bottom_left,100.0,1.1265449523925781,277.9898987322331,7.0,15.0,19.0,24.0,28.0,31.0,52.0,68.0,75.0
greedy,1,bottom_right,62.0,0.9555351734161377,211.24978336205555,7.0,10.0,14.0,18.0,21.0,26.0,37.0,42.0,59.0
greedy,2,top_left,26.0,1.0266227722167969,201.10764773832463,5.0,12.0,17.0,19.0,22.0,25.0,30.0,39.0,56.0
greedy,2,top_right,96.0,1.1424601078033447,250.1198410471443,10.0,13.0,19.0,24.0,34.0,38.0,42.0,46.0,69.0
greedy,2,bottom_left,98.0,1.121243953704834,242.1492782986672,9.0,13.0,20.0,35.0,38.0,44.0,54.0,63.0,68.0
greedy,2,bottom_right,62.0,1.431891918182373,375.83051916579893,11.0,14.0,17.0,18.0,20.0,24.0,33.0,42.0,104.0
greedy,3,top_left,38.0,1.3733251094818115,359.6589462905451,7.0,12.0,22.0,26.0,32.0,36.0,41.0,49.0,98.0
greedy,3,top_right,84.0,1.5225911140441895,251.3624817342636,10.0,12.0,15.0,21.0,30.0,35.0,43.0,48.0,69.0
greedy,3,bottom_left,134.0,1.5549468994140625,294.43354954612903,7.0,13.0,21.0,31.0,38.0,44.0,48.0,68.0,84.0
greedy,3,bottom_right,27.0,0.972480058670044,199.4507934888323,7.0,9.0,11.0,13.0,16.0,18.0,21.0,44.0,56.0
greedy,4,top_left,48.0,2.3414249420166016,229.56349186104035,7.0,15.0,20.0,25.0,31.0,35.0,46.0,52.0,63.0
greedy,4,top_right,49.0,1.6109018325805664,269.19090885900977,9.0,11.0,18.0,21.0,41.0,44.0,51.0,59.0,75.0
greedy,4,bottom_left,69.0,1.9196898937225342,310.8599564173218,11.0,15.0,18.0,21.0,23.0,25.0,54.0,71.0,84.0
greedy,4,bottom_right,48.0,1.8433330059051514,331.4751801064716,14.0,17.0,19.0,23.0,33.0,41.0,49.0,61.0,94.0
